dteday,weathersit,season,weekday,casual,registered,cnt
2011-03-23,Misty,Summer,Wednesday,203,1918,2121
2011-03-24,Misty,Summer,Thursday,166,1699,1865
2011-03-25,Clear,Summer,Friday,300,1910,2210
2011-03-26,Clear,Summer,Saturday,981,1515,2496
2011-03-27,Misty,Summer,Sunday,472,1221,1693
2011-03-28,Clear,Summer,Monday,222,1806,2028
2011-03-29,Clear,Summer,Tuesday,317,2108,2425
2011-03-30,Misty,Summer,Wednesday,168,1368,1536
2011-03-31,Light Rainsnow,Summer,Thursday,179,1506,1685
2011-04-01,Misty,Summer,Friday,307,1920,2227
2011-04-02,Misty,Summer,Saturday,898,1354,2252
2011-04-03,Clear,Summer,Sunday,1651,1598,3249
2011-04-04,Clear,Summer,Monday,734,2381,3115
2011-04-05,Misty,Summer,Tuesday,167,1628,1795
2011-04-06,Clear,Summer,Wednesday,413,2395,2808
2011-04-07,Clear,Summer,Thursday,571,2570,3141
2011-04-08,Misty,Summer,Friday,172,1299,1471
2011-04-09,Misty,Summer,Saturday,879,1576,2455
2011-04-10,Misty,Summer,Sunday,1188,1707,2895
2011-04-11,Misty,Summer,Monday,855,2493,3348
2011-04-12,Misty,Summer,Tuesday,257,1777,2034
2011-04-13,Misty,Summer,Wednesday,209,1953,2162
2011-04-14,Clear,Summer,Thursday,529,2738,3267
2011-04-15,Clear,Summer,Friday,642,2484,3126
2011-04-16,Light Rainsnow,Summer,Saturday,121,674,795
2011-04-17,Clear,Summer,Sunday,1558,2186,3744
2011-04-18,Clear,Summer,Monday,669,2760,3429
2011-04-19,Misty,Summer,Tuesday,409,2795,3204
2011-04-20,Clear,Summer,Wednesday,613,3331,3944
2011-04-21,Clear,Summer,Thursday,745,3444,4189
2011-04-22,Misty,Summer,Friday,177,1506,1683
2011-04-23,Misty,Summer,Saturday,1462,2574,4036
2011-04-24,Misty,Summer,Sunday,1710,2481,4191
2011-04-25,Clear,Summer,Monday,773,3300,4073
2011-04-26,Clear,Summer,Tuesday,678,3722,4400
2011-04-27,Misty,Summer,Wednesday,547,3325,3872
2011-04-28,Misty,Summer,Thursday,569,3489,4058
2011-04-29,Clear,Summer,Friday,878,3717,4595
2011-04-30,Clear,Summer,Saturday,1965,3347,5312
2011-05-01,Misty,Summer,Sunday,1138,2213,3351
2011-05-02,Misty,Summer,Monday,847,3554,4401
2011-05-03,Misty,Summer,Tuesday,603,3848,4451
2011-05-04,Misty,Summer,Wednesday,255,2378,2633
2011-05-05,Clear,Summer,Thursday,614,3819,4433
2011-05-06,Clear,Summer,Friday,894,3714,4608
2011-05-07,Clear,Summer,Saturday,1612,3102,4714
2011-05-08,Clear,Summer,Sunday,1401,2932,4333
2011-05-09,Clear,Summer,Monday,664,3698,4362
2011-05-10,Clear,Summer,Tuesday,694,4109,4803
2011-05-11,Clear,Summer,Wednesday,550,3632,4182
2011-05-12,Clear,Summer,Thursday,695,4169,4864
2011-05-13,Misty,Summer,Friday,692,3413,4105
2011-05-14,Misty,Summer,Saturday,902,2507,3409
2011-05-15,Misty,Summer,Sunday,1582,2971,4553
2011-05-16,Clear,Summer,Monday,773,3185,3958
2011-05-17,Misty,Summer,Tuesday,678,3445,4123
2011-05-18,Misty,Summer,Wednesday,536,3319,3855
2011-05-19,Misty,Summer,Thursday,735,3840,4575
2011-05-20,Clear,Summer,Friday,909,4008,4917
2011-05-21,Clear,Summer,Saturday,2258,3547,5805
2011-05-22,Clear,Summer,Sunday,1576,3084,4660
2011-05-23,Misty,Summer,Monday,836,3438,4274
2011-05-24,Misty,Summer,Tuesday,659,3833,4492
2011-05-25,Clear,Summer,Wednesday,740,4238,4978
2011-05-26,Clear,Summer,Thursday,758,3919,4677
2011-05-27,Clear,Summer,Friday,871,3808,4679
2011-05-28,Clear,Summer,Saturday,2001,2757,4758
2011-05-29,Clear,Summer,Sunday,2355,2433,4788
2011-05-30,Clear,Summer,Monday,1549,2549,4098
2011-05-31,Clear,Summer,Tuesday,673,3309,3982
2011-06-01,Misty,Summer,Wednesday,513,3461,3974
2011-06-02,Clear,Summer,Thursday,736,4232,4968
2011-06-03,Clear,Summer,Friday,898,4414,5312
2011-06-04,Clear,Summer,Saturday,1869,3473,5342
2011-06-05,Misty,Summer,Sunday,1685,3221,4906
2011-06-06,Clear,Summer,Monday,673,3875,4548
2011-06-07,Clear,Summer,Tuesday,763,4070,4833
2011-06-08,Clear,Summer,Wednesday,676,3725,4401
2011-06-09,Misty,Summer,Thursday,563,3352,3915
2011-06-10,Clear,Summer,Friday,815,3771,4586
2011-06-11,Clear,Summer,Saturday,1729,3237,4966
2011-06-12,Clear,Summer,Sunday,1467,2993,4460
2011-06-13,Clear,Summer,Monday,863,4157,5020
2011-06-14,Clear,Summer,Tuesday,727,4164,4891
2011-06-15,Clear,Summer,Wednesday,769,4411,5180
2011-06-16,Misty,Summer,Thursday,545,3222,3767
2011-06-17,Clear,Summer,Friday,863,3981,4844
2011-06-18,Clear,Summer,Saturday,1807,3312,5119
2011-06-19,Misty,Summer,Sunday,1639,3105,4744
2011-06-20,Misty,Summer,Monday,699,3311,4010
2011-06-21,Misty,Fall,Tuesday,774,4061,4835
2011-06-22,Clear,Fall,Wednesday,661,3846,4507
2011-06-23,Misty,Fall,Thursday,746,4044,4790
2011-06-24,Clear,Fall,Friday,969,4022,4991
2011-06-25,Clear,Fall,Saturday,1782,3420,5202
2011-06-26,Clear,Fall,Sunday,1920,3385,5305
2011-06-27,Misty,Fall,Monday,854,3854,4708
2011-06-28,Clear,Fall,Tuesday,732,3916,4648
2011-06-29,Clear,Fall,Wednesday,848,4377,5225
2011-06-30,Clear,Fall,Thursday,1027,4488,5515
2011-07-01,Clear,Fall,Friday,1246,4116,5362
2011-07-02,Clear,Fall,Saturday,2204,2915,5119
2011-07-03,Misty,Fall,Sunday,2282,2367,4649
2011-07-04,Misty,Fall,Monday,3065,2978,6043
2011-07-05,Clear,Fall,Tuesday,1031,3634,4665
2011-07-06,Clear,Fall,Wednesday,784,3845,4629
2011-07-07,Clear,Fall,Thursday,754,3838,4592
2011-07-08,Misty,Fall,Friday,692,3348,4040
2011-07-09,Clear,Fall,Saturday,1988,3348,5336
2011-07-10,Clear,Fall,Sunday,1743,3138,4881
2011-07-11,Clear,Fall,Monday,723,3363,4086
2011-07-12,Clear,Fall,Tuesday,662,3596,4258
2011-07-13,Clear,Fall,Wednesday,748,3594,4342
2011-07-14,Clear,Fall,Thursday,888,4196,5084
2011-07-15,Clear,Fall,Friday,1318,4220,5538
2011-07-16,Clear,Fall,Saturday,2418,3505,5923
2011-07-17,Clear,Fall,Sunday,2006,3296,5302
2011-07-18,Clear,Fall,Monday,841,3617,4458
2011-07-19,Clear,Fall,Tuesday,752,3789,4541
2011-07-20,Clear,Fall,Wednesday,644,3688,4332
2011-07-21,Misty,Fall,Thursday,632,3152,3784
2011-07-22,Clear,Fall,Friday,562,2825,3387
2011-07-23,Clear,Fall,Saturday,987,2298,3285
2011-07-24,Clear,Fall,Sunday,1050,2556,3606
2011-07-25,Clear,Fall,Monday,568,3272,3840
2011-07-26,Clear,Fall,Tuesday,750,3840,4590
2011-07-27,Clear,Fall,Wednesday,755,3901,4656
2011-07-28,Clear,Fall,Thursday,606,3784,4390
2011-07-29,Clear,Fall,Friday,670,3176,3846
2011-07-30,Clear,Fall,Saturday,1559,2916,4475
2011-07-31,Clear,Fall,Sunday,1524,2778,4302
2011-08-01,Clear,Fall,Monday,729,3537,4266
2011-08-02,Clear,Fall,Tuesday,801,4044,4845
2011-08-03,Misty,Fall,Wednesday,467,3107,3574
2011-08-04,Misty,Fall,Thursday,799,3777,4576
2011-08-05,Clear,Fall,Friday,1023,3843,4866
2011-08-06,Misty,Fall,Saturday,1521,2773,4294
2011-08-07,Clear,Fall,Sunday,1298,2487,3785
2011-08-08,Clear,Fall,Monday,846,3480,4326
2011-08-09,Clear,Fall,Tuesday,907,3695,4602
2011-08-10,Clear,Fall,Wednesday,884,3896,4780
2011-08-11,Clear,Fall,Thursday,812,3980,4792
2011-08-12,Clear,Fall,Friday,1051,3854,4905
2011-08-13,Misty,Fall,Saturday,1504,2646,4150
2011-08-14,Misty,Fall,Sunday,1338,2482,3820
2011-08-15,Clear,Fall,Monday,775,3563,4338
2011-08-16,Clear,Fall,Tuesday,721,4004,4725
2011-08-17,Clear,Fall,Wednesday,668,4026,4694
2011-08-18,Clear,Fall,Thursday,639,3166,3805
2011-08-19,Misty,Fall,Friday,797,3356,4153
2011-08-20,Clear,Fall,Saturday,1914,3277,5191
2011-08-21,Clear,Fall,Sunday,1249,2624,3873
2011-08-22,Clear,Fall,Monday,833,3925,4758
2011-08-23,Clear,Fall,Tuesday,1281,4614,5895
2011-08-24,Clear,Fall,Wednesday,949,4181,5130
2011-08-25,Misty,Fall,Thursday,435,3107,3542
2011-08-26,Clear,Fall,Friday,768,3893,4661
2011-08-27,Misty,Fall,Saturday,226,889,1115
2011-08-28,Clear,Fall,Sunday,1415,2919,4334
2011-08-29,Clear,Fall,Monday,729,3905,4634
2011-08-30,Clear,Fall,Tuesday,775,4429,5204
2011-08-31,Clear,Fall,Wednesday,688,4370,5058
2011-09-01,Clear,Fall,Thursday,783,4332,5115
2011-09-02,Misty,Fall,Friday,875,3852,4727
2011-09-03,Clear,Fall,Saturday,1935,2549,4484
2011-09-04,Clear,Fall,Sunday,2521,2419,4940
2011-09-05,Misty,Fall,Monday,1236,2115,3351
2011-09-06,Light Rainsnow,Fall,Tuesday,204,2506,2710
2011-09-07,Light Rainsnow,Fall,Wednesday,118,1878,1996
2011-09-08,Light Rainsnow,Fall,Thursday,153,1689,1842
2011-09-09,Misty,Fall,Friday,417,3127,3544
2011-09-10,Clear,Fall,Saturday,1750,3595,5345
2011-09-11,Clear,Fall,Sunday,1633,3413,5046
2011-09-12,Clear,Fall,Monday,690,4023,4713
2011-09-13,Clear,Fall,Tuesday,701,4062,4763
2011-09-14,Clear,Fall,Wednesday,647,4138,4785
2011-09-15,Misty,Fall,Thursday,428,3231,3659
2011-09-16,Misty,Fall,Friday,742,4018,4760
2011-09-17,Misty,Fall,Saturday,1434,3077,4511
2011-09-18,Clear,Fall,Sunday,1353,2921,4274
2011-09-19,Misty,Fall,Monday,691,3848,4539
2011-09-20,Misty,Fall,Tuesday,438,3203,3641
2011-09-21,Misty,Fall,Wednesday,539,3813,4352
2011-09-22,Misty,Fall,Thursday,555,4240,4795
2011-09-23,Misty,Winter,Friday,258,2137,2395
2011-09-24,Misty,Winter,Saturday,1776,3647,5423
2011-09-25,Misty,Winter,Sunday,1544,3466,5010
2011-09-26,Misty,Winter,Monday,684,3946,4630
2011-09-27,Misty,Winter,Tuesday,477,3643,4120
2011-09-28,Misty,Winter,Wednesday,480,3427,3907
2011-09-29,Clear,Winter,Thursday,653,4186,4839
2011-09-30,Clear,Winter,Friday,830,4372,5202
2011-10-01,Misty,Winter,Saturday,480,1949,2429
2011-10-02,Misty,Winter,Sunday,616,2302,2918
2011-10-03,Misty,Winter,Monday,330,3240,3570
2011-10-04,Clear,Winter,Tuesday,486,3970,4456
2011-10-05,Clear,Winter,Wednesday,559,4267,4826
2011-10-06,Clear,Winter,Thursday,639,4126,4765
2011-10-07,Clear,Winter,Friday,949,4036,4985
2011-10-08,Clear,Winter,Saturday,2235,3174,5409
2011-10-09,Clear,Winter,Sunday,2397,3114,5511
2011-10-10,Clear,Winter,Monday,1514,3603,5117
2011-10-11,Misty,Winter,Tuesday,667,3896,4563
2011-10-12,Light Rainsnow,Winter,Wednesday,217,2199,2416
2011-10-13,Misty,Winter,Thursday,290,2623,2913
2011-10-14,Misty,Winter,Friday,529,3115,3644
2011-10-15,Clear,Winter,Saturday,1899,3318,5217
2011-10-16,Clear,Winter,Sunday,1748,3293,5041
2011-10-17,Clear,Winter,Monday,713,3857,4570
2011-10-18,Misty,Winter,Tuesday,637,4111,4748
2011-10-19,Light Rainsnow,Winter,Wednesday,254,2170,2424
2011-10-20,Clear,Winter,Thursday,471,3724,4195
2011-10-21,Clear,Winter,Friday,676,3628,4304
2011-10-22,Clear,Winter,Saturday,1499,2809,4308
2011-10-23,Clear,Winter,Sunday,1619,2762,4381
2011-10-24,Clear,Winter,Monday,699,3488,4187
2011-10-25,Clear,Winter,Tuesday,695,3992,4687
2011-10-26,Misty,Winter,Wednesday,404,3490,3894
2011-10-27,Misty,Winter,Thursday,240,2419,2659
2011-10-28,Misty,Winter,Friday,456,3291,3747
2011-10-29,Light Rainsnow,Winter,Saturday,57,570,627
2011-10-30,Clear,Winter,Sunday,885,2446,3331
2011-10-31,Clear,Winter,Monday,362,3307,3669
2011-11-01,Clear,Winter,Tuesday,410,3658,4068
2011-11-02,Clear,Winter,Wednesday,370,3816,4186
2011-11-03,Clear,Winter,Thursday,318,3656,3974
2011-11-04,Misty,Winter,Friday,470,3576,4046
2011-11-05,Clear,Winter,Saturday,1156,2770,3926
2011-11-06,Clear,Winter,Sunday,952,2697,3649
2011-11-07,Clear,Winter,Monday,373,3662,4035
2011-11-08,Clear,Winter,Tuesday,376,3829,4205
2011-11-09,Clear,Winter,Wednesday,305,3804,4109
2011-11-10,Misty,Winter,Thursday,190,2743,2933
2011-11-11,Clear,Winter,Friday,440,2928,3368
2011-11-12,Clear,Winter,Saturday,1275,2792,4067
2011-11-13,Clear,Winter,Sunday,1004,2713,3717
2011-11-14,Clear,Winter,Monday,595,3891,4486
2011-11-15,Misty,Winter,Tuesday,449,3746,4195
2011-11-16,Light Rainsnow,Winter,Wednesday,145,1672,1817
2011-11-17,Misty,Winter,Thursday,139,2914,3053
2011-11-18,Clear,Winter,Friday,245,3147,3392
2011-11-19,Clear,Winter,Saturday,943,2720,3663
2011-11-20,Misty,Winter,Sunday,787,2733,3520
2011-11-21,Light Rainsnow,Winter,Monday,220,2545,2765
2011-11-22,Light Rainsnow,Winter,Tuesday,69,1538,1607
2011-11-23,Misty,Winter,Wednesday,112,2454,2566
2011-11-24,Clear,Winter,Thursday,560,935,1495
2011-11-25,Clear,Winter,Friday,1095,1697,2792
2011-11-26,Clear,Winter,Saturday,1249,1819,3068
2011-11-27,Clear,Winter,Sunday,810,2261,3071
2011-11-28,Clear,Winter,Monday,253,3614,3867
2011-11-29,Misty,Winter,Tuesday,96,2818,2914
2011-11-30,Clear,Winter,Wednesday,188,3425,3613
2011-12-01,Clear,Winter,Thursday,182,3545,3727
2011-12-02,Clear,Winter,Friday,268,3672,3940
2011-12-03,Clear,Winter,Saturday,706,2908,3614
2011-12-04,Clear,Winter,Sunday,634,2851,3485
2011-12-05,Misty,Winter,Monday,233,3578,3811
2011-12-06,Light Rainsnow,Winter,Tuesday,126,2468,2594
2011-12-07,Light Rainsnow,Winter,Wednesday,50,655,705
2011-12-08,Clear,Winter,Thursday,150,3172,3322
2011-12-09,Clear,Winter,Friday,261,3359,3620
2011-12-10,Clear,Winter,Saturday,502,2688,3190
2011-12-11,Clear,Winter,Sunday,377,2366,2743
2011-12-12,Clear,Winter,Monday,143,3167,3310
2011-12-13,Clear,Winter,Tuesday,155,3368,3523
2011-12-14,Misty,Winter,Wednesday,178,3562,3740
2011-12-15,Misty,Winter,Thursday,181,3528,3709
2011-12-16,Misty,Winter,Friday,178,3399,3577
2011-12-17,Misty,Winter,Saturday,275,2464,2739
2011-12-18,Clear,Winter,Sunday,220,2211,2431
2011-12-19,Clear,Winter,Monday,260,3143,3403
2011-12-20,Misty,Winter,Tuesday,216,3534,3750
2011-12-21,Misty,Spring,Wednesday,107,2553,2660
2011-12-22,Misty,Spring,Thursday,227,2841,3068
2011-12-23,Clear,Spring,Friday,163,2046,2209
2011-12-24,Clear,Spring,Saturday,155,856,1011
2011-12-25,Clear,Spring,Sunday,303,451,754
2011-12-26,Clear,Spring,Monday,430,887,1317
2011-12-27,Misty,Spring,Tuesday,103,1059,1162
2011-12-28,Clear,Spring,Wednesday,255,2047,2302
2011-12-29,Clear,Spring,Thursday,254,2169,2423
2011-12-30,Clear,Spring,Friday,491,2508,2999
2011-12-31,Clear,Spring,Saturday,665,1820,2485
2012-01-01,Clear,Spring,Sunday,686,1608,2294
2012-01-02,Clear,Spring,Monday,244,1707,1951
2012-01-03,Clear,Spring,Tuesday,89,2147,2236
2012-01-04,Misty,Spring,Wednesday,95,2273,2368
2012-01-05,Clear,Spring,Thursday,140,3132,3272
2012-01-06,Clear,Spring,Friday,307,3791,4098
2012-01-07,Clear,Spring,Saturday,1070,3451,4521
2012-01-08,Clear,Spring,Sunday,599,2826,3425
2012-01-09,Misty,Spring,Monday,106,2270,2376
2012-01-10,Clear,Spring,Tuesday,173,3425,3598
2012-01-11,Misty,Spring,Wednesday,92,2085,2177
2012-01-12,Misty,Spring,Thursday,269,3828,4097
2012-01-13,Clear,Spring,Friday,174,3040,3214
2012-01-14,Clear,Spring,Saturday,333,2160,2493
2012-01-15,Clear,Spring,Sunday,284,2027,2311
2012-01-16,Clear,Spring,Monday,217,2081,2298
2012-01-17,Misty,Spring,Tuesday,127,2808,2935
2012-01-18,Clear,Spring,Wednesday,109,3267,3376
2012-01-19,Clear,Spring,Thursday,130,3162,3292
2012-01-20,Misty,Spring,Friday,115,3048,3163
2012-01-21,Misty,Spring,Saturday,67,1234,1301
2012-01-22,Misty,Spring,Sunday,196,1781,1977
2012-01-23,Misty,Spring,Monday,145,2287,2432
2012-01-24,Clear,Spring,Tuesday,439,3900,4339
2012-01-25,Clear,Spring,Wednesday,467,3803,4270
2012-01-26,Misty,Spring,Thursday,244,3831,4075
2012-01-27,Misty,Spring,Friday,269,3187,3456
2012-01-28,Clear,Spring,Saturday,775,3248,4023
2012-01-29,Clear,Spring,Sunday,558,2685,3243
2012-01-30,Clear,Spring,Monday,126,3498,3624
2012-01-31,Clear,Spring,Tuesday,324,4185,4509
2012-02-01,Clear,Spring,Wednesday,304,4275,4579
2012-02-02,Misty,Spring,Thursday,190,3571,3761
2012-02-03,Clear,Spring,Friday,310,3841,4151
2012-02-04,Misty,Spring,Saturday,384,2448,2832
2012-02-05,Misty,Spring,Sunday,318,2629,2947
2012-02-06,Clear,Spring,Monday,206,3578,3784
2012-02-07,Clear,Spring,Tuesday,199,4176,4375
2012-02-08,Misty,Spring,Wednesday,109,2693,2802
2012-02-09,Clear,Spring,Thursday,163,3667,3830
2012-02-10,Misty,Spring,Friday,227,3604,3831
2012-02-11,Light Rainsnow,Spring,Saturday,192,1977,2169
2012-02-12,Clear,Spring,Sunday,73,1456,1529
2012-02-13,Clear,Spring,Monday,94,3328,3422
2012-02-14,Misty,Spring,Tuesday,135,3787,3922
2012-02-15,Clear,Spring,Wednesday,141,4028,4169
2012-02-16,Misty,Spring,Thursday,74,2931,3005
2012-02-17,Clear,Spring,Friday,349,3805,4154
2012-02-18,Clear,Spring,Saturday,1435,2883,4318
2012-02-19,Misty,Spring,Sunday,618,2071,2689
2012-02-20,Clear,Spring,Monday,502,2627,3129
2012-02-21,Clear,Spring,Tuesday,163,3614,3777
2012-02-22,Clear,Spring,Wednesday,394,4379,4773
2012-02-23,Clear,Spring,Thursday,516,4546,5062
2012-02-24,Misty,Spring,Friday,246,3241,3487
2012-02-25,Clear,Spring,Saturday,317,2415,2732
2012-02-26,Clear,Spring,Sunday,515,2874,3389
2012-02-27,Clear,Spring,Monday,253,4069,4322
2012-02-28,Clear,Spring,Tuesday,229,4134,4363
2012-02-29,Misty,Spring,Wednesday,65,1769,1834
2012-03-01,Clear,Spring,Thursday,325,4665,4990
2012-03-02,Misty,Spring,Friday,246,2948,3194
2012-03-03,Misty,Spring,Saturday,956,3110,4066
2012-03-04,Clear,Spring,Sunday,710,2713,3423
2012-03-05,Clear,Spring,Monday,203,3130,3333
2012-03-06,Clear,Spring,Tuesday,221,3735,3956
2012-03-07,Clear,Spring,Wednesday,432,4484,4916
2012-03-08,Clear,Spring,Thursday,486,4896,5382
2012-03-09,Misty,Spring,Friday,447,4122,4569
2012-03-10,Clear,Spring,Saturday,968,3150,4118
2012-03-11,Clear,Spring,Sunday,1658,3253,4911
2012-03-12,Clear,Spring,Monday,838,4460,5298
2012-03-13,Clear,Spring,Tuesday,762,5085,5847
2012-03-14,Clear,Spring,Wednesday,997,5315,6312
2012-03-15,Clear,Spring,Thursday,1005,5187,6192
2012-03-16,Misty,Spring,Friday,548,3830,4378
2012-03-17,Misty,Spring,Saturday,3155,4681,7836
2012-03-18,Misty,Spring,Sunday,2207,3685,5892
2012-03-19,Clear,Spring,Monday,982,5171,6153
2012-03-20,Clear,Spring,Tuesday,1051,5042,6093
2012-03-21,Misty,Summer,Wednesday,1122,5108,6230
2012-03-22,Clear,Summer,Thursday,1334,5537,6871
2012-03-23,Misty,Summer,Friday,2469,5893,8362
2012-03-24,Misty,Summer,Saturday,1033,2339,3372
2012-03-25,Misty,Summer,Sunday,1532,3464,4996
2012-03-26,Clear,Summer,Monday,795,4763,5558
2012-03-27,Clear,Summer,Tuesday,531,4571,5102
2012-03-28,Clear,Summer,Wednesday,674,5024,5698
2012-03-29,Clear,Summer,Thursday,834,5299,6133
2012-03-30,Misty,Summer,Friday,796,4663,5459
2012-03-31,Misty,Summer,Saturday,2301,3934,6235
2012-04-01,Misty,Summer,Sunday,2347,3694,6041
2012-04-02,Clear,Summer,Monday,1208,4728,5936
2012-04-03,Clear,Summer,Tuesday,1348,5424,6772
2012-04-04,Clear,Summer,Wednesday,1058,5378,6436
2012-04-05,Clear,Summer,Thursday,1192,5265,6457
2012-04-06,Clear,Summer,Friday,1807,4653,6460
2012-04-07,Clear,Summer,Saturday,3252,3605,6857
2012-04-08,Clear,Summer,Sunday,2230,2939,5169
2012-04-09,Clear,Summer,Monday,905,4680,5585
2012-04-10,Clear,Summer,Tuesday,819,5099,5918
2012-04-11,Clear,Summer,Wednesday,482,4380,4862
2012-04-12,Clear,Summer,Thursday,663,4746,5409
2012-04-13,Clear,Summer,Friday,1252,5146,6398
2012-04-14,Clear,Summer,Saturday,2795,4665,7460
2012-04-15,Clear,Summer,Sunday,2846,4286,7132
2012-04-16,Clear,Summer,Monday,1198,5172,6370
2012-04-17,Clear,Summer,Tuesday,989,5702,6691
2012-04-18,Misty,Summer,Wednesday,347,4020,4367
2012-04-19,Clear,Summer,Thursday,846,5719,6565
2012-04-20,Clear,Summer,Friday,1340,5950,7290
2012-04-21,Clear,Summer,Saturday,2541,4083,6624
2012-04-22,Light Rainsnow,Summer,Sunday,120,907,1027
2012-04-23,Misty,Summer,Monday,195,3019,3214
2012-04-24,Clear,Summer,Tuesday,518,5115,5633
2012-04-25,Clear,Summer,Wednesday,655,5541,6196
2012-04-26,Misty,Summer,Thursday,475,4551,5026
2012-04-27,Clear,Summer,Friday,1014,5219,6233
2012-04-28,Misty,Summer,Saturday,1120,3100,4220
2012-04-29,Clear,Summer,Sunday,2229,4075,6304
2012-04-30,Misty,Summer,Monday,665,4907,5572
2012-05-01,Misty,Summer,Tuesday,653,5087,5740
2012-05-02,Clear,Summer,Wednesday,667,5502,6169
2012-05-03,Misty,Summer,Thursday,764,5657,6421
2012-05-04,Clear,Summer,Friday,1069,5227,6296
2012-05-05,Misty,Summer,Saturday,2496,4387,6883
2012-05-06,Misty,Summer,Sunday,2135,4224,6359
